panel,stage,median,lo,hi
Property Value Percentile,Flooded,49.366221825876764,22.2078291923873,80.70948410932296
Property Value Percentile,Eligible,51.00800614151628,22.256916237460935,83.9057570097169
Property Value Percentile,In a community,51.812012024930056,22.720342614545398,84.50466652658538
Property Value Percentile,Applied,28.091149896345367,17.68045667600358,56.017325131408924
Property Value Percentile,Funded,23.22438704788629,16.291273653192942,40.82122926286914
Property Value Percentile within EIF Grid Cell (n > 5),Flooded,58.55855855855856,29.411764705882355,83.63636363636363
Property Value Percentile within EIF Grid Cell (n > 5),Eligible,57.93821104979904,28.999999999999996,83.03571428571429
Property Value Percentile within EIF Grid Cell (n > 5),In a community,57.82312925170068,28.846153846153843,82.8125
Property Value Percentile within EIF Grid Cell (n > 5),Applied,58.333333333333336,34.186862294723355,78.92094250516799
Property Value Percentile within EIF Grid Cell (n > 5),Funded,57.965606748864374,34.68976300197498,77.47359154929578
